@RELATION spotify

@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key REAL
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode REAL
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature REAL
@ATTRIBUTE class {0,1}

@DATA
0.679,0.576,4,-6.609,0,0.0402,0.261,0.000113,0.366,0.348,154.09,236683,4,1
0.731,0.796,9,-5.098,0,0.0344,0.19,0.0606,0.354,0.933,102.006,205466,4,1
0.78,0.209,6,-12.2,1,0.0334,0.828,0.000167,0.106,0.644,97.009,241733,4,1
0.659,0.705,7,-7.074,1,0.0312,0.178,1.39e-05,0.333,0.488,95.01,240981,4,1
0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316,4,1
0.688,0.688,3,-5.84,1,0.0357,0.3,0.0,0.0982,0.451,114.011,193321,4,1
0.324,0.252,2,-12.514,1,0.0319,0.849,0.213,0.145,0.0717,70.002,354480,4,1
0.609,0.966,7,-4.469,1,0.0571,0.00194,2.83e-06,0.304,0.505,102.014,194469,4,1
0.631,0.796,1,-5.35,1,0.0401,0.000245,0.0115,0.38,0.596,92.469,209120,4,1
0.64,0.635,8,-7.565,0,0.226,0.271,0.0,0.319,0.475,100.034,223187,4,1
0.524,0.496,8,-8.264,1,0.0406,0.333,0.0,0.193,0.964,200.194,137991,4,1
0.785,0.481,0,-7.54,1,0.0315,0.0419,0.000467,0.136,0.689,93.998,229000,4,1
0.448,0.603,7,-7.176,1,0.064,0.433,0.0,0.0862,0.422,205.272,221307,3,1
0.641,0.717,11,-5.366,1,0.0296,0.00228,0.015,0.141,0.632,105.005,188000,4,1
0.817,0.854,6,-4.744,0,0.117,0.117,1.07e-05,0.0413,0.622,102.0,198280,4,1
0.535,0.618,8,-3.913,1,0.0273,0.0716,0.000388,0.169,0.228,81.975,352200,4,1
0.68,0.931,1,-5.163,1,0.0671,0.0108,0.00159,0.0524,0.61,107.995,226687,4,1
0.604,0.366,7,-7.881,1,0.0267,0.719,0.0,0.162,0.181,105.177,248413,3,1
0.529,0.612,10,-8.794,1,0.052,0.253,0.0,0.246,0.434,119.272,193847,4,1
0.685,0.508,0,-6.4,1,0.0987,0.193,0.0,0.139,0.315,99.063,217287,4,1
0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,1
0.583,0.221,0,-12.062,0,0.0368,0.888,0.0,0.112,0.194,74.848,189067,4,1
0.275,0.313,1,-10.366,0,0.0333,0.922,0.00361,0.114,0.245,139.094,232933,3,1
0.571,0.798,6,-6.721,0,0.0356,0.629,0.00173,0.124,0.587,117.243,274000,4,1
0.507,0.134,4,-17.01,1,0.0368,0.904,1.04e-05,0.103,0.377,135.8,218293,4,1
0.485,0.745,7,-6.32,0,0.0363,0.0195,0.00581,0.125,0.132,91.944,198320,4,1
0.499,0.379,0,-6.46,1,0.0272,0.779,0.0193,0.105,0.126,95.059,265587,4,1
